trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
48,True,"{'a': 0.05, 'e': 0.00040973497897978643}",20,8,23.31603650653878,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0.05, 'e': 0.0003707435404590882}",25,16,17.28269573474104,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,True,"{'a': 0.05, 'e': 0.00033546262790251185}",30,10,37.310475974454086,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,True,"{'a': 0.05, 'e': 0.0003035391380788668}",20,8,21.760186964057176,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,True,"{'a': 0.05, 'e': 0.00027465356997214205}",20,15,9.447710194263042,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,True,"{'a': 0.05, 'e': 0.00024851682710795185}",20,16,5.919483199605475,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,True,"{'a': 0.05, 'e': 0.0002248673241788482}",20,9,18.421179427163437,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,True,"{'a': 0.05, 'e': 0.00020346836901064417}",20,11,11.198160894916827,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,True,"{'a': 0.05, 'e': 0.0001841057936675792}",35,23,25.14449586411899,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,True,"{'a': 0.05, 'e': 0.00016658581098763324}",20,12,17.04345102514291,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,True,"{'a': 0.05, 'e': 0.0001507330750954765}",20,14,10.802918907168646,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,True,"{'a': 0.05, 'e': 0.0001363889264820114}",25,12,22.50721876447742,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,True,"{'a': 0.05, 'e': 0.00012340980408667956}",25,15,20.884934226770454,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,True,"{'a': 0.05, 'e': 0.00011166580849011478}",20,10,18.605969090274748,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,True,"{'a': 0.05, 'e': 0.00010103940183709324}",20,6,25.90061656686601,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,True,"{'a': 0.05, 'e': 9.142423147817327e-05}",20,7,24.163819989038185,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,True,"{'a': 0.05, 'e': 8.272406555663223e-05}",20,12,16.7808473321118,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,True,"{'a': 0.05, 'e': 7.48518298877006e-05}",20,7,22.50386428598479,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,True,"{'a': 0.05, 'e': 6.772873649085378e-05}",25,19,12.361022745043286,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,True,"{'a': 0.05, 'e': 6.128349505322202e-05}",20,0,38.74601932312664,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,True,"{'a': 0.05, 'e': 5.5451599432176945e-05}",20,6,27.007560087951898,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,True,"{'a': 0.05, 'e': 5.017468205617528e-05}",30,7,39.21733962673258,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,True,"{'a': 0.05, 'e': 4.5399929762484854e-05}",20,10,20.21588026475404,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,True,"{'a': 0.05, 'e': 4.107955522530065e-05}",20,5,23.68370576186554,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,True,"{'a': 0.05, 'e': 3.7170318684126666e-05}",20,16,7.997789064042024,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,True,"{'a': 0.05, 'e': 3.363309518571897e-05}",20,4,29.603189014723664,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,True,"{'a': 0.05, 'e': 3.0432483008403625e-05}",20,3,28.71774936406938,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,True,"{'a': 0.05, 'e': 2.7536449349747158e-05}",25,18,12.549939912759152,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,True,"{'a': 0.05, 'e': 2.491600973150316e-05}",20,3,25.63698852470671,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,True,"{'a': 0.05, 'e': 2.254493791321217e-05}",25,7,29.795416348312525,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,True,"{'a': 0.05, 'e': 2.0399503411171922e-05}",25,3,36.158326126126745,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,True,"{'a': 0.05, 'e': 1.8458233995780558e-05}",35,24,21.439984913563336,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,True,"{'a': 0.05, 'e': 1.670170079024566e-05}",25,8,26.35147294522016,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,True,"{'a': 0.05, 'e': 1.5112323819855006e-05}",30,17,28.884024998273766,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,True,"{'a': 0.05, 'e': 1.3674196065680938e-05}",25,13,20.707831970816926,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,True,"{'a': 0.05, 'e': 1.2372924261788221e-05}",25,5,37.13880084464953,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,True,"{'a': 0.05, 'e': 1.119548484259094e-05}",20,6,28.630515375197444,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,True,"{'a': 0.05, 'e': 1.013009359863071e-05}",30,7,38.191760983552996,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,True,"{'a': 0.05, 'e': 9.166087736247602e-06}",30,18,25.305953267402963,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,True,"{'a': 0.05, 'e': 8.293819160757357e-06}",20,3,26.335222813824966,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
